,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
461,True,1,0.009900990099009901,True,37,0.5692307692307692,True,25,0.3246753246753247,True,15,0.1724137931034483,True,9,0.0967741935483871,15.0,200,89,2.975722293168009,100,False,0.026088283210483777,0.5692307692307692,14,22,10,6,11,20,37,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
462,True,1,0.007042253521126761,True,61,0.7439024390243902,True,28,0.24347826086956523,False,17,0.1349206349206349,True,14,0.10852713178294573,22.0,282,127,2.9849541563327815,141,False,0.01775718404880114,0.7439024390243902,16,44,11,3,11,21,61,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
463,True,0,0.0,False,53,0.5760869565217391,True,36,0.3302752293577982,False,22,0.17886178861788618,False,16,0.12403100775193798,18.0,286,128,2.985674198777191,143,False,0.017198133930237322,0.5760869565217391,22,31,14,6,12,22,53,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
464,True,1,0.024390243902439025,True,15,0.5555555555555556,True,10,0.3125,False,6,0.16666666666666666,False,3,0.07692307692307693,7.0,80,36,2.916796672673102,40,False,0.07333062033265286,0.5555555555555556,5,9,4,3,8,12,15,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
465,True,0,0.0,False,37,0.5967741935483871,True,26,0.3561643835616438,False,16,0.1927710843373494,False,4,0.042105263157894736,16.0,194,87,2.9748581410117776,97,False,0.02834690218364432,0.5967741935483871,16,21,10,12,11,20,37,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
466,True,1,0.019230769230769232,True,14,0.358974358974359,False,17,0.4722222222222222,True,9,0.20454545454545456,True,5,0.10416666666666667,7.0,102,45,2.9378765407156058,51,False,0.061988936988936996,0.4722222222222222,8,5,8,4,9,14,17,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False
467,True,0,0.0,False,15,0.8333333333333334,True,4,0.13793103448275862,False,5,0.17857142857142858,True,5,0.17857142857142858,4.0,62,29,2.866036371591724,31,False,0.09731048166392994,0.8333333333333334,5,10,1,0,7,10,15,False,False,True,True,True,False,True,False,False,False,True,True,True,False,True,False
468,True,1,0.018518518518518517,True,14,0.34146341463414637,False,18,0.4864864864864865,False,11,0.25,True,5,0.1,6.0,106,47,2.9426620303795676,53,False,0.05460062895444089,0.4864864864864865,10,3,7,6,9,14,18,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False
469,True,1,0.03125,True,11,0.5,True,11,0.5,True,4,0.13793103448275862,False,1,0.03125,5.0,62,27,2.891206746629922,31,False,0.08004195838513382,0.5,3,7,7,3,7,11,11,False,True,True,True,True,False,False,True,True,False,True,True,True,False,False,False
470,True,1,0.06666666666666667,True,7,0.7777777777777778,True,2,0.14285714285714285,False,2,0.14285714285714285,False,1,0.06666666666666667,3.0,28,12,2.789941268233895,14,False,0.23793243793243793,0.7777777777777778,1,5,0,1,5,7,7,False,True,True,True,True,False,True,False,True,False,True,True,True,False,False,False
