,first_disk_embedded,first_disk_t_bundle,second_disk_embedded,second_disk_t_bundle,length_first_disk,length_second_disk,length_third_disk,length_fourth_disk,length_fifth_disk,length_sixth_disk,N,fake_surface
393,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
394,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
395,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
396,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
397,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
398,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
399,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
400,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
401,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
402,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
403,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
404,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
405,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
406,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
407,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
408,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
409,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
410,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
411,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
412,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
413,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
414,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
415,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
416,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
417,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
418,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
419,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
420,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
421,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
422,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
423,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
424,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
425,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
426,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
427,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
428,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
429,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
430,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
431,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
432,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
433,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
434,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
435,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
436,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
437,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
438,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
439,False,False,False,True,15,5,2.0,1.0,1.0,,17,True
440,False,True,False,False,15,5,2.0,1.0,1.0,,17,True
441,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
442,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
443,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
444,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
445,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
446,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
447,False,False,False,False,15,5,2.0,1.0,1.0,,17,True
448,False,True,False,True,15,5,2.0,1.0,1.0,,17,True
449,False,False,False,False,11,6,4.0,2.0,1.0,,17,True
450,False,True,False,False,11,6,4.0,2.0,1.0,,17,True
451,False,True,False,False,11,6,4.0,2.0,1.0,,17,True
452,False,True,False,True,11,6,4.0,2.0,1.0,,17,True
453,False,True,False,False,11,6,4.0,2.0,1.0,,17,True
454,False,True,False,True,11,6,4.0,2.0,1.0,,17,True
455,False,True,False,True,13,7,2.0,1.0,1.0,,17,True
456,False,True,False,False,13,7,2.0,1.0,1.0,,17,True
457,False,True,False,True,13,7,2.0,1.0,1.0,,17,True
458,False,False,False,True,13,7,2.0,1.0,1.0,,17,True
459,False,True,False,True,13,7,2.0,1.0,1.0,,17,True
460,False,False,False,True,13,7,2.0,1.0,1.0,,17,True
461,False,True,False,False,13,7,2.0,1.0,1.0,,17,True
